0	1	44.49496933602259
0	2	51.42064196576558
1	1	51.00664898839035
1	2	50.678026652365524
2	1	28.865229263375852
2	2	33.089175604593166
3	1	34.72652023822852
3	2	36.45623555372666
4	1	58.918108152652046
4	2	64.39294334523251
5	1	44.06568707644771
5	2	44.79375472405324
6	1	40.750442088387345
6	2	44.200830388067054
7	1	24.696505938440964
7	2	36.35500643164944
8	1	37.49230430494163
8	2	37.699524257558416
9	1	59.96789551587678
9	2	62.62383394152266
10	1	27.32062719365252
10	2	26.16639558418357
11	1	25.243813541444293
11	2	28.779426972042685
12	1	49.07092906514761
12	2	60.64037045038604
13	1	24.823072043855174
13	2	18.814162717037664
14	1	25.31935220399927
14	2	28.837705276280168
15	1	37.36713943136439
15	2	39.38563348664581
16	1	32.163527632349385
16	2	36.66003169560432
17	1	34.742199414417385
17	2	43.695272242661865
18	1	38.85740993815158
18	2	40.59410751013404
19	1	41.05141114726237
19	2	58.87341729434405
