1	 34
2	 54
1	 37
2	 42
1	 30
2	 50
1	 41
2	 45
1	 47
2	 56
1	 28
2	 64
1	 52
2	 48
1	 52
2	 55
1	 40
2	 59
1	 38
2	 64
1	 35
2	 52
1	 38
2	 58
1	 45
2	 31
1	 44
2	 44
1	 49
2	 55
1	 46
2	 53
1	 45
2	 46
1	 44
2	 50
1	 52
2	 42
1	 41
2	 49
1	 45
2	 39
1	 34
2	 51
1	 31
2	 58
1	 47
2	 43
1	 40
2	 43
1	 33
2	 53
1	 45
2	 59
1	 50
2	 50
1	 39
2	 54
1	 32
2	 55
1	 41
2	 46
1	 52
2	 43
1	 44
2	 46
1	 46
2	 62
1	 50
2	 41
1	 39
2	 54
1	 28
2	 40
1	 33
2	 72
1	 46
2	 54
1	 51
2	 47
1	 36
2	 51
1	 31
2	 54
1	 40
2	 46
1	 33
2	 50
1	 33
2	 40
1	 46
2	 55
1	 33
2	 49
1	 31
2	 41
1	 28
2	 45
1	 48
2	 51
1	 42
2	 44
1	 51
2	 48
1	 38
2	 32
1	 33
2	 42
1	 38
2	 48
1	 40
2	 44
1	 46
2	 51
1	 37
2	 48
1	 45
2	 59
1	 32
2	 51
1	 37
2	 52
1	 44
2	 44
1	 37
2	 53
1	 38
2	 45
1	 46
2	 48
1	 36
2	 50
1	 39
2	 43
1	 38
2	 54
1	 33
2	 48
1	 33
2	 37
1	 50
2	 43
1	 47
2	 47
1	 47
2	 41
1	 31
2	 67
1	 33
2	 50
1	 45
2	 52
1	 55
2	 32
1	 43
2	 48
1	 32
2	 53
1	 38
2	 38
1	 44
2	 49
1	 35
2	 61
1	 39
2	 65
1	 36
2	 56
1	 37
2	 54
1	 47
2	 51
1	 39
2	 38
1	 42
2	 46
1	 45
2	 53
1	 44
2	 50
1	 33
2	 49
1	 38
2	 32
1	 40
2	 44
1	 32
2	 47
1	 52
2	 44
1	 40
2	 60
1	 38
2	 55
1	 55
2	 46
1	 43
2	 45
1	 48
2	 46
1	 26
2	 42
1	 37
2	 58
1	 29
2	 62
1	 37
2	 46
1	 32
2	 49
1	 35
2	 58
1	 28
2	 59
1	 31
2	 61
1	 35
2	 44
1	 53
2	 47
1	 42
2	 46
1	 35
2	 46
1	 36
2	 47
1	 40
2	 48
1	 32
2	 49
1	 31
2	 66
1	 47
2	 53
1	 48
2	 55
1	 40
2	 54
1	 29
2	 45
1	 57
2	 59
1	 27
2	 53
1	 40
2	 48
1	 47
2	 47
1	 40
2	 44
1	 36
2	 61
1	 36
2	 47
1	 45
2	 33
1	 34
2	 62
1	 34
2	 57
1	 36
2	 48
1	 41
2	 63
1	 37
2	 48
1	 23
2	 50
1	 56
2	 52
1	 35
2	 65
1	 42
2	 43
1	 37
2	 52
1	 38
2	 51
1	 37
2	 40
1	 36
2	 57
1	 52
2	 53
1	 42
2	 55
1	 38
2	 54
1	 29
2	 53
1	 46
2	 43
1	 38
2	 48
1	 43
2	 34
1	 42
2	 46
1	 35
2	 55
1	 35
2	 47
1	 49
2	 41
1	 40
2	 39
1	 30
2	 54
1	 46
2	 48
1	 38
2	 58
1	 43
2	 67
1	 34
2	 38
1	 39
2	 46
1	 59
2	 48
1	 52
2	 61
1	 41
2	 47
1	 43
2	 55
1	 44
2	 50
1	 36
2	 45
1	 43
2	 55
1	 48
2	 38
1	 42
2	 51
1	 39
2	 49
1	 29
2	 46
1	 41
2	 50
1	 38
2	 56
1	 43
2	 58
1	 31
2	 38
1	 48
2	 64
1	 45
2	 38
1	 30
2	 49
1	 45
2	 41
1	 40
2	 41
1	 46
2	 33
1	 45
2	 44
1	 44
2	 42
1	 35
2	 47
1	 42
2	 51
1	 39
2	 40
1	 44
2	 41
1	 43
2	 45
1	 41
2	 47
1	 34
2	 47
1	 35
2	 46
1	 31
2	 57
1	 39
2	 39
1	 48
2	 63
1	 49
2	 50
1	 46
2	 57
1	 49
2	 43
1	 31
2	 53
1	 50
2	 49
1	 29
2	 44
1	 44
2	 59
